Tamaño: 10, tiempo: 4.06e-005
Tamaño: 11, tiempo: 7.64e-005
Tamaño: 12, tiempo: 8.6e-005
Tamaño: 13, tiempo: 0.0001546
Tamaño: 14, tiempo: 0.0003557
Tamaño: 15, tiempo: 0.0006531
Tamaño: 16, tiempo: 0.0016316
Tamaño: 17, tiempo: 0.0023476
Tamaño: 18, tiempo: 0.0054812
Tamaño: 19, tiempo: 0.0090024
Tamaño: 20, tiempo: 0.0191484
Tamaño: 21, tiempo: 0.0363922
Tamaño: 22, tiempo: 0.0784916
Tamaño: 23, tiempo: 0.163275
Tamaño: 24, tiempo: 0.291785
Tamaño: 25, tiempo: 0.609064
Tamaño: 26, tiempo: 1.2139
Tamaño: 27, tiempo: 1.15902
Tamaño: 28, tiempo: 5.21389
Tamaño: 29, tiempo: 11.1688
Tamaño: 30, tiempo: 15.1194
Tamaño: 31, tiempo: 28.5426
Tamaño: 32, tiempo: 57.0739
Tamaño: 33, tiempo: 116.074
Tamaño: 34, tiempo: 231.187
Tamaño: 35, tiempo: 244.163
Tamaño: 36, tiempo: 1296.29
Tamaño: 37, tiempo: 3890.18
Tamaño: 38, tiempo: 5099.32
Tamaño: 39, tiempo: 7446.09
Tamaño: 40, tiempo: 14871
